Location,Min Db,RMS Db,Max Db,Time
Bar Bleu,-22.9,-38.2,-21.1,8
Café,-25.3,-40.7,-23.9,8
Dark Horse,-17.3,-40,-15.7,8
DP Dough,-18,-38.6,-16.7,8
Shandygaff,-15.9,-37.6,-14.7,8
Indigo,-11.5,-36.6,-11.3,8
McLanahan's,-21.2,-37.6,-21,8
Phyrst,-16.1,-37.1,-9.6,8
Taco Bell,-21.9,-35.6,-20.8,8
Canyon,-20.6,-38.3,-19.2,8
Bar Bleu,-12.4,-28.3,-11.6,11
Café,-13.3,-33.4,-12,11
Chrome,-12.2,-30.1,-10.8,11
Dark Horse,-17.2,-38.3,-16.8,11
DP Dough,-10.2,-33.4,-3.4,11
Shandygaff,-3.7,-25.1,-3.4,11
Indigo,-10,-30.3,-10,11
McLanahan's,-10.8,-29.6,-10.3,11
Phyrst,-6.5,-29,-4.1,11
Taco Bell,-19.3,-37.4,-18.5,11
Canyon,-13.5,-32.4,-11.9,11
Bar Bleu,-3.6,-37,-0.9,2
Café,-6.8,-38.5,-4.9,2
Chrome,-7.2,-36.76,-8.4,2
Dark Horse,-12.3,-33.7,-13.4,2
DP Dough,-7.3,-41.2,-6.6,2
Shandygaff,-4.8,-36.1,-4.9,2
Indigo,-12.5,-35.1,-8.6,2
Phyrst,-4.6,-34.3,-6.6,2
Taco Bell,-13.7,-35,-16,2
Canyon,-5,-27.9,-4.6,2
