Location,Min dB,RMS dB,Max dB,Time
Phyrst,-4.1,-18.1,-3.8,8
S Atherton,-3.6,-36.1,-3.2,8
Sowers and Beaver,-8.7,-29.1,-8.4,8
Behind Noodles,-16.7,-36.4,-15.2,8
Foster Arms,-6.1,-29.5,-4.6,8
E Nittany and S Allen,-16,-37.7,-13.9,8
College Pizza,-16.7,-36.4,-15.2,8
College and Sowers,-25.1,-40.2,-23.8,8
Atherton Hall,-16.3,-32.8,-12.8,8
137 H Alley,-21.9,-51.1,-21,8
Shandygaff,-3.6,-14.3,-3.3,11
Phyrst,-2.4,-13.9,-2.1,11
Local Whiskey,-4.4,-21.9,-3.6,11
Behind Noodles,-4,-19.6,-3.9,11
Beaver Terrace,-4.2,-17,-4.2,11
121 W Fairmount,-8.3,-23.7,-8.1,11
137 H Alley,-4.8,-23.4,-4.3,11
Shandygaff,-5.2,-20.2,-4.7,2
Cedar Brook,-7.5,-43,-6.1,2
